r1,-16433,-16129,-16192,-16346
2,-16096,-16169,-16178,-16146
3,-16098,-16148,-16149,-16107
4,-16064,-16172,-16116,-16072
5,-16022,-16070,-16055,-16032
6,-16332,-16129,-16159,-16272
7,-16017,-16108,-16115,-16068
8,-16042,-16103,-16089,-16047
9,-16180,-16142,-16120,-16153
10,-16145,-16096,-16121,-16146
11,-16240,-16151,-16179,-16221
12,-16169,-16183,-16186,-16179
13,-16184,-16184,-16185,-16183
14,-15949,-16135,-16091,-15995
15,-16192,-16123,-16112,-16152
16,-15955,-16070,-16046,-15994
17,-16290,-16096,-16134,-16230
18,-16043,-16120,-16114,-16080
19,-16289,-16144,-16180,-16247
20,-15981,-16150,-16115,-16034
21,-16030,-16085,-16067,-16030
22,-15941,-16060,-16009,-15958
23,-15892,-15961,-15942,-15905
24,-16054,-15979,-15979,-16024
25,-16041,-15982,-16004,-16037
26,-16161,-16037,-16075,-16136
27,-16057,-16078,-16083,-16072
28,-16017,-16069,-16059,-16028
29,-16122,-16089,-16080,-16103
30,-16040,-16059,-16060,-16052
31,-16106,-16071,-16079,-16095
32,-16212,-16120,-16135,-16188
33,-16266,-16156,-16194,-16250
34,-16377,-16240,-16281,-16351
35,-16173,-16257,-16256,-16208
36,-16000,-16204,-16152,-16041
37,-16136,-16171,-16125,-16117
38,-15840,-16037,-15993,-15895
39,-15975,-15987,-15969,-15959
40,-16162,-16028,-16037,-16121
41,-16076,-16013,-16057,-16085
42,-15885,-16024,-16005,-15925
43,-16105,-16057,-16038,-16069
44,-16257,-16080,-16117,-16219
45,-16233,-16120,-16179,-16230
46,-15910,-16126,-16094,-15974
47,-16144,-16136,-16101,-16110
48,-16233,-16130,-16141,-16208
49,-16298,-16146,-16207,-16280
50,-16145,-16205,-16207,-16172
51,-15965,-16160,-16111,-16006
52,-16151,-16139,-16107,-16122
53,-16108,-16092,-16095,-16110
54,-15911,-16033,-16022,-15950
55,-16198,-16092,-16088,-16148
56,-16022,-16059,-16059,-16047
57,-16121,-16063,-16084,-16106
58,-16144,-16121,-16116,-16136
59,-15930,-16054,-16041,-15971
60,-16040,-16058,-16035,-16026
61,-16113,-16056,-16057,-16095
62,-15880,-15990,-15986,-15923
63,-16256,-16072,-16092,-16189
64,-16124,-16093,-16112,-16137
65,-16233,-16123,-16169,-16213
66,-16169,-16195,-16185,-16177
67,-16049,-16143,-16127,-16074
68,-16138,-16147,-16125,-16125
69,-16034,-16097,-16079,-16052
70,-16105,-16081,-16083,-16094
71,-16025,-16075,-16060,-16038
72,-16102,-16066,-16071,-16089
73,-16065,-16074,-16071,-16069
74,-15929,-16030,-16012,-15957
75,-16060,-16039,-16025,-16039
76,-16027,-16020,-16019,-16029
77,-16031,-16011,-16024,-16030
78,-15913,-16007,-15985,-15936
79,-16234,-16051,-16074,-16174
80,-16205,-16095,-16137,-16198
81,-16205,-16139,-16180,-16203
82,-15884,-16132,-16078,-15947
83,-16112,-16101,-16070,-16079
84,-15912,-16028,-15993,-15945
85,-15897,-15951,-15941,-15906
86,-15971,-15973,-15950,-15958
87,-16209,-15997,-16044,-16158
88,-16068,-16036,-16072,-16086
89,-16123,-16092,-16107,-16115
90,-16240,-16160,-16165,-16215
91,-16000,-16107,-16102,-16043
92,-16245,-16152,-16158,-16204
93,-16093,-16144,-16134,-16115
94,-16064,-16100,-16101,-16074
95,-16129,-16132,-16112,-16118
96,-16125,-16102,-16109,-16123
97,-16093,-16102,-16105,-16099
98,-16113,-16115,-16109,-16110
99,-16105,-16109,-16105,-16106
100,-16041,-16088,-16078,-16054
